"division_id","name"
"8","KPMG"
"15","Rolls Royce"
"31","RBS"
"33","IBM"
"34","BT"
"39","JCB"
"43","WEB Test Scheme Div."
"54","MASSEY FERGUSON AGCO"
"57","MERCEDES"
"58","EDS"
"76","Dewalt"
"87","DHL"
"90","NISSAN"
"94","NatWest"
"96","ERICSSON"
"119","Nissan Europe"
"130","NissanGB HQ BK-2-BK"
"133","Lexus"
"135","Accenture"
"137","Stanley Black & Decker"
"141","JP Morgan Chase"
"145","EE"
"162","Virgin Atlantic"
"163","HSBC"
"179","Cadbury"
"185","Intel"
"188","Rolls-Royce Motor C"
"197","Tarmac"
"206","PWC"
"213","Sopra Steria"
"214","Visa"
"215","Caterpillar"
"218","Michelin"
"223","MSD"
"234","TATA"
"240","Motorola Solutions"
"241","Vauxhall"
"244","Chep"
"246","Aviva"
"247","LTA"
"248","Google"
"252","Friends Life"
"265","ExxonMobil"
"268","Michelin Turkey"
"269","Legal & General"
"273","Arqiva"
"275","ExxonMobil Turkey"
"279","Arthur J Gallagher"
"287","Mac Tools"
"288","Nespresso"
"290","Sky"
"306","C&C Intl Ireland"
"308","Nutricia Ireland"
"316","Schneider"
"319","Rated People"
"324","Brand Addition Marketing"
"325","The Body Shop"
"327","Unibet"
"329","Qlik"
"333","Orange S.A."
"337","Arnold Clark Ltd"
"338","ABB Germany"
"343","Zurich Germany"
"347","Recaro Germany"
"349","IBM GERMANY"
"350","Vattenfall Germany"
"351","Hella Germany"
"354","Timken Germany"
"357","Adient Germany"
"361","Schneider Germany"
"364","ExxonMobil Germany"
"376","Georg Fischer Germany"
"379","Workday"
"380","Maersk"
"381","SKF"
"382","INDEED"
"383","Danske Bank"
"384","Manchester United"
"414","MAERSK COOKIES AND CALENDARS"
"419","Stars Group"
"422","Tata Consultancy Services"
"423","Delivery Hero Germany"
"424","TMD Friction Germany"
"425","Mann Filter Germany"
"426","GetYourGuide Germany"
"427","MAERSK DRILLING"
"428","Aggreko"
"429","Finastra"
"433","Scania"
"2361","Eaton Germany"
